Statistic Label,Month,Ireland,UNIT,VALUE
Road Fatalities,January,Ireland,Number,18
Road Fatalities,February,Ireland,Number,13
Road Fatalities,March,Ireland,Number,12
Road Fatalities,April,Ireland,Number,11
Road Fatalities,May,Ireland,Number,20
Road Fatalities,June,Ireland,Number,10
Road Fatalities,July,Ireland,Number,17
Road Fatalities,August,Ireland,Number,26
Road Fatalities,September,Ireland,Number,9
Road Fatalities,October,Ireland,Number,23
Road Fatalities,November,Ireland,Number,14
Road Fatalities,December,Ireland,Number,11
