"Year","Month of Year","All Fatal and Injury Collisions (Number)","All Killed and Injured Casualties (Number)","Total"
"2020","January","500","668","1168"
"2020","February","449","573","1022"
"2020","March","279","363","642"
"2020","April","139","166","305"
"2020","May","233","282","515"
"2020","June","298","393","691"
"2020","July","403","532","935"
"2020","August","417","549","966"
"2020","September","430","580","1010"
"2020","October","395","513","908"
"2020","November","394","487","881"
"2020","December","492","540","1032"
